gbifID	latlon	name	best	species
2130985141	seymour	seymour	seymour	Sula nebouxii
2043616527	floreana	-	floreana	Setophaga petechia
3531857002	-	-	-	Hydrobates tethys
596551136	genovesa	genovesa	genovesa	Puffinus subalaris
3212085954	santa cruz	santa cruz	santa cruz	Arenaria interpres
2181157253	genovesa	genovesa	genovesa	Hydrobates tethys
963879121	daphne	daphne	daphne	Puffinus subalaris
3525744708	daphne	daphne	daphne	Phaethon aethereus
979339050	santa cruz	-	santa cruz	Butorides striata
1193341550	espanola	espanola	espanola	Sula granti
3207119811	santa cruz	santa cruz	santa cruz	Geospiza fortis
591664478	santiago	santiago	santiago	Numenius phaeopus
1353782171	san cristobal	san cristobal	san cristobal	Sula nebouxii
2771565352	isabela	isabela	isabela	Certhidea olivacea
4045575309	fernandina	fernandina	fernandina	Tabanus vittiger
3574076597	santa fe	santa fe	santa fe	Mimus parvulus
180104719	genovesa	genovesa	genovesa	Fregata minor
3542736581	plaza	plaza	plaza	Fregata magnificens
215696681	-	santa cruz	santa cruz	Conus tiaratus
3633639776	espanola	espanola	espanola	Nyctanassa violacea
4062889577	champion	-	champion	Scorpaena mystes
2153141365	san cristobal	san cristobal	san cristobal	Geospiza fuliginosa
3198680690	seymour	seymour	seymour	Setophaga petechia
3855261658	pinta	-	pinta	Lantana peduncularis
2190479416	rabida	rabida	rabida	Camarhynchus parvulus
3237684361	fernandina	fernandina	fernandina	Spheniscus mendiculus
2190440388	fernandina	fernandina	fernandina	Geospiza fortis
2697781916	espanola	espanola	espanola	Haematopus palliatus
4039314476	santa cruz	santa cruz	santa cruz	Hippomane mancinella
2866838936	santa cruz	-	santa cruz	Microlophus albemarlensis
1839064456	santa cruz	-	santa cruz	Pyrenula cerina
2227219951	san cristobal	san cristobal	san cristobal	Tringa incana
3259965415	santa cruz	-	santa cruz	Bubulcus ibis
4133591525	santa cruz	santa cruz	santa cruz	Laguncularia racemosa
3855277272	santa cruz	santa cruz	santa cruz	Plumbago zeylanica
2573814248	genovesa	genovesa	genovesa	Nyctanassa violacea
3855265453	isabela	isabela	isabela	Erigeron tenuifolius
1054740086	floreana	floreana	floreana	Mugil thoburni
2139889455	santa cruz	-	santa cruz	Gallinula chloropus
2849773408	floreana	floreana	floreana	Melipotis acontioides
1359493572	san cristobal	san cristobal	san cristobal	Creagrus furcatus
3995569681	plaza	santa cruz	plaza	Conolophus subcristatus
2081787759	espanola	espanola	espanola	Buteo galapagoensis
1382875450	santiago	santiago	santiago	Charadrius semipalmatus
2122148565	fernandina	-	fernandina	Anous stolidus
3855271730	san cristobal	-	san cristobal	Oplismenus compositus
3262404312	isabela	isabela	isabela	Mimus parvulus
829539431	isabela	isabela	isabela	Geospiza fortis
1206480901	san cristobal	san cristobal	san cristobal	Sula nebouxii
1378661319	santa cruz	santa cruz	santa cruz	Crotophaga ani
3525900022	isabela	isabela	isabela	Geospiza magnirostris
3855281476	santa cruz	-	santa cruz	Ponthieva maculata
3855262793	santa cruz	-	santa cruz	Passiflora edulis
2114890938	bartolome	bartolome	bartolome	Hydrobates tethys
2775047380	santiago	santiago	santiago	Haematopus palliatus
583583855	-	floreana	floreana	Geospiza fuliginosa
3174910762	fernandina	fernandina	fernandina	Tringa semipalmata
3067641569	genovesa	genovesa	genovesa	Zenaida galapagoensis
