Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Macronectes,giganteus,,"Gmelin, 1789",Na,Hy,LC,1,,,,,,,,True,,,,,,,,,,True,,,,5113,Southern Giant Petrel,petrel gigante del sur,,"G. Jimenez-Uzcategui: ""Macronectes sp. (either Southern Giant-Petrel, Macronectes giganteus, or Northern Giant-Petrel, Macronectes halli). One carcass, dead for a long time, found in April 1978 on Pinta Island, and not identified to species (Harris 1981in Wiedenfeld 2006)"".",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Macronectes,halli,,"Mathews, 1912",Na,Hy,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5114,Northern Giant Petrel,petrel gigante del norte,,"""Macronectes sp. (either Southern Giant-Petrel, Macronectes giganteus, or Northern Giant-Petrel, Macronectes halli). One carcass, dead for a long time, found in April 1978 on Pinta Island, and not identified to species (Harris 1981in Wiedenfeld 2006)"".",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Pachyptila,desolata,,"Gmelin, 1789",Na,Va,LC,1,,,,True,,,,,,,,,,,,,,,True,,,5135,Antarctic Prion,petrel Ballena,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Procellaria,parkinsoni,,"Gray, 1862",Na,Va,VU,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5161,Parkinson´s Black Petrel,Petrel Negro Parkinson,,,Last Observation in 2015 was in Isabela Island (Punta Vicente Roca) by J. Márquez.,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Pterodroma,inexpectata,,"Forster, 1844",Na,Va,NT,1,,,,,,,,,,True,True,,,,,,,,True,,,5164,Mottled Petrel,Petrel moteado,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Pterodroma,leucoptera,,"Gould, 1844",Na,Hy,VU,1,,,,,,,,,,True,True,,,,,,,,True,,,5165,White winged (Gould´s) Petrel,Petrel de Gould,,"Syn.: Pterodroma leucoptera brevipes (Peale, 1848)",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Pterodroma,phaeopygia,,"(Salvin, 1876)",Na,En,CR,1,,,True,True,,True,,,True,True,True,True,True,,,,,,True,,True,5166,"Galapagos Petrel, dark-rumped petrel, Hawaiian petrel",Petrel de Galápagos,Pata pegada,"Syn.: Pterodroma phaeopygia phaeopygia (Salvin, 1876); Oestrelata phaeopygia  Salvin, 1876","Breeding on Santa Cruz, San Cristobal, Santiago, Floreana and Isabela Islands.","Anida y habita en la parte alta de Santa Cruz, San Cristobal, Santiago y Floreana",,"Infomación adicional Venegas, L.",,"La parte superior de las alas oscuro, parte posterior y pecho blanco. Pico grueso y largo.<br>Existen tres poblaciones distintas de Florena, Santiago y Santa Cruz, siendo las más grandes las de Floreana y Santiago."
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Puffinus,griseus,,"Gmelin, 1789",Na,Va,NT,1,,,True,,,True,,,,,True,,,,,,,,True,,True,5169,Sooty Shearwater,Pufino negro,,"Syn.: Ardenna grisea  Gmelin, 1789",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Puffinus,subalaris,,"Ridgway, 1897",Na,En,LC,1,,True,True,,True,True,,,True,,True,True,True,,True,,True,True,True,,True,5171,Galapagos' Shearwater,Pufino de Galápagos,,"Syn.: Puffinus iherminieri subalaris Ridgway, 1897, Puffinus obscurus subalaris Rothschild & Hartert, 1899, Puffinus obscurus Salvin, 1883, Puffinus iherminieri becki Mathews, 1912, Puffinus tenebrosus Townsend, 1890",On islets and the cliffs of the larger islands.,,,,,
Eukaryota,Animalia,Chordata,Aves,Psittaciformes,,,Psittacidae,,,Psittacara,erythrogenys,,"Lesson, 1844",In,Ac,NT,1,,,,,,,,,,,,,,True,,,,,,True,,18496,Red-masked Parakeet,Aratinga de Guayaquil,,"Syn.: Aratinga erythrogenys  Lesson, 1844","Only present on Puerto Baquerizo Moreno, San Cristóbal Island.",,,,,
Eukaryota,Animalia,Chordata,Aves,Sphenisciformes,,,Spheniscidae,,,Spheniscus,mendiculus,,"Sundevall, 1871",Na,En,EN,1,,,True,True,,True,,,True,,True,True,True,,,,,,True,,True,5176,Galapagos Penguin,Pingüino de Galápagos,,,"Breeding on Fernandina, Isabela, Floreana, Santiago (Lougie), Bartolomé, Sombrero Chino. Sometimes, individuals are seen on Santa Cruz, Santa Fe, Baltra, Dhapne and Genovesa in 2014.","Estan distribuidos en Fernandina, Isabela, Floreana, Santiago (Lougie), Bartolomé, Sombrero Chino. Algunos individios se pueden observar en Santa Cruz, Santa Fe, Baltra, Dhapne y Genovesa.",,,,"Es el único pingüino que habita y se reproduce en el trópico.<br>Adulto con alas negras y parte posterior de clor blanco, cola de color negro."
Eukaryota,Animalia,Chordata,Aves,Strigiformes,,,Strigidae,,,Asio,flammeus,galapagoensis,"(Gould, 1837)",Na,En,NE,1,,True,True,True,True,True,True,True,True,True,True,True,True,,,,,True,True,,True,5036,Short eared Owl,Lechuza de campo,Lechuza de campo,"Syn.: Asio flammeus Pontoppidan, 1763; Asio galapagensis",From all the main islands except Wolf.,"Presente en todas las islas a excepción de Wolf. Habita en la parte alta, a veces se le puede observar cerca de colonias de aves marinas.  Es de hábitos más diurnos que la lechuza de campanario.",,"Información adicional Venegas, L.",,Hembra mas grande que el macho
Eukaryota,Animalia,Chordata,Aves,Strigiformes,,,Tytonidae,,,Tyto,alba,punctatissima,"Gray, 1839",Na,En,NE,1,,,True,True,,True,,,,,True,,True,,,,,,True,,True,5195,Barn Owl,lechuza de campanario,lechuza,"Syn.: Tyto alba Scopoli, 1769; Strix punctatissima Gray in Gold, 1841",,,,,,
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Fregatidae,,,Fregata,magnificens,magnificens,"(Mathews, 1914)",Na,En,NE,1,,,,True,True,True,,,,True,True,,,,,,,True,True,,,5085,Galapagos Magnificent Frigatebird,fragata real de Galápagos,,"Syn.: Fregata magnificens Mathews, 1914; Hailer et al. (2010) examined genetic and morphological variation suggesting that Galapagos Magnificent Frigatebirds are strongly isolated from all other neotropical populations; presently not resolved if the populations are sufficiently distinct to warrant recognition as separate species; treated here as an endemic subspecies.","Main breeding in Seymour, Isabela, San Cristobal, Dhapne Menor, Darwin, Genovesa, Gardner by Floreana","Seymour, Isabela, San Cristóbal, Daphne Menor, Darwin, Genovesa, Islote Gardner (Floreana)",,"Información adicional Venegas, L.",,"Es la más grande de las fragatas. Los machos son negros con púrpura, el buche es rojo, en cambio las hembras son negras con el buche blanco. La cola es bifurcada."
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Fregatidae,,,Fregata,minor,,"Gmelin, 1789",Na,Id,LC,1,True,True,,True,True,,,,,True,True,,,,True,,True,True,True,,,5086,Great Frigatebird,fragata común,,,"Gardner-by-Floreana, Española, Tortuga Islet, Cuatro Hermanos, San Cristóbal, (Pitt Islet and Pitt Point), Genovesa, Darwin, Wolf and Daphne Major.","Islote Gardner (Floreana), Española, Islote Tortuga, Cuatro Hermanos, San Cristóbal  (Islote Pitt y Punta Pitt ), Genovesa, Darwin, Wolf and Daphne Major.",,,,"Parecida a la fragata real, solo que es más pequeña, las plumas son negras con tonalidades verdes."
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Phalacrocoracidae,,,Phalacrocorax,harrisi,,"Rothschild, 1898",Na,En,VU,1,,True,True,,,True,,,,,True,,,,,,,,True,,True,5144,Galápagos flightless Cormorant,cormorán no volador,,"Syn.: Nannopterum harrisi (Rothschild, 1898)",Present on Fernandina and Isabela Island.,Presente en Isabela y Fernandina.,,"Información adicional Venegas, L.",,"Única especie de cormorán presente en el archipielago que no puede volar. El cuello es largo, los adultos son de color marrón oscuro y los ojos son de color turquesa. Macho más grande que la hembra"
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Sulidae,,,Sula,granti,,"Rothschild, 1902",Na,Id,LC,1,True,True,True,True,True,,,,,True,True,True,,,True,,True,True,True,,True,16141,Nazca booby,Piquero de Nazca,,"Syn.: Sula granti dactylatra Rothschild, 1902, Dysporus cyanops Sundevall, 1871, Sula cyanops Salvin, 1883, Sula variegata Rothschild & Hartert, 1899, Sula dactylatra granti Rothschild, 1915. Pitman and Jehl (1998) argued that Masked Boobies (formerly Sula dactylatra granti) breeding on the Nazca Plate in the eastern Pacific Ocean are morphologically and ecologically distinct from other Masked Boobies and may represent a full species. The American Ornithologists Union subsequently elevated that subspecies to a full species: the Nazca Booby (S. granti).",Breeds throughout the archipelago.,Se encuentra en todas las islas.,,,,"Es el piquero más grande del Archipiélago. Es completamente blanco a excepción de las alas primarias y secundarias y la cola que son negras. Alrededor de los ojos y el pico tienen una mancha negra, la que les da la apariencia de enmascarado."
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Sulidae,,,Sula,leucogaster,,"Boddaert, 1783",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5184,Brown Booby,Piquero café,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Sulidae,,,Sula,nebouxii,excisa,"Todd, 1948",Na,En,NE,1,,True,True,True,True,True,,,True,,True,,,,,,,True,True,,True,5185,Blue-footed Booby,Piquero patas azules,,"Syn.: Sula nebouxii  Milne-Edwards, 1882, Sula nebouxii nebouxii Milne-Edwards, 1882, ? Sula leucogaster  Boddaert, 1783, ? Dysporus leucogaster Sundevall, 1871, ? Sula brewsteri Ridgway, 1897","Breeding on most islands except those north of the equator, although it breeds occasionally on Genovesa.","En la mayoria de la islas excepto en las del norte, aunque ocasionalmnete se puede encontrar anidando en Genovesa.",,"Infomación adicional Venegas, L.",,Es de tamaño mediano. Las patas son de color azul. La hembra es más grande que el macho y tiene un área pigmentada alrededor del iris del ojo que hace que se vea más grande.
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Sulidae,,,Sula,sula,,"Linnaeus, 1766",Na,Id,LC,1,True,,,True,True,True,,,,True,True,,,,True,,True,True,True,,True,5186,Red-footed Booby,Piquero patas rojas,,Syn.: Sula sula websteri,"Breeding on Genovesa, Wolf, Darwin, Gardner-by-Floreana, and on San Cristóbal at Pitt Point and Pitt Islet (Wiedenfeld 2006).",,,,,
Eukaryota,Animalia,Chordata,Aves,Suliformes,,,Sulidae,,,Sula,variegata,,"(Tschudi, 1843)",Na,Va,LC,1,,,,,,,,,,,,,,True,,,,,,True,,9094,Peruvian Booby,Piquero Peruano,,,A record in San Cristobal Island.,,,,,
